Code;Subject Name;Known as;Syllabus
3160002;Contributor Personality Development Program;CPDP;https://bit.ly/3AiTXw3
3160003;Integrated Personality Development Course;IPDC;https://bit.ly/3ivO2hi
3160704;Theory of Computation;TOC;https://bit.ly/3FWR5sb
3160707;Advanced Java Programming;AJP;https://bit.ly/2Z66pCr
3160712;Microprocessor and Interfacing;MPI;https://bit.ly/3jchubU
3160713;Web Programming;WP;https://bit.ly/3jyRxTm
3160714;Data Mining	DM;https://bit.ly/3iwBbeJ
3160715;System Software	SS;https://bit.ly/2X9pTox
3160716;IOT and applications;IOT;https://bit.ly/3AjGXWT
3160717;Data Visualization;DV;https://bit.ly/3iu9e7l
