Code;Subject Name;Known as;Syllabus
3110005;Basic Electrical Engineering;BEE;https://bit.ly/3ATO0aa
3110004;Basic Civil Engineering;BCE;https://bit.ly/3qYMfUs
311004;Mathematics-I;Maths - I;https://bit.ly/3qYMfUs
3110011;Physics Group - I;Physics-I;https://bit.ly/3xxstSx
3110018;Physics Group - II;	Physics-II;https://bit.ly/2UF1rd4
3110001;Chemistry;Chemistry;https://bit.ly/3jW35Sd
3110012;Workshop;Workshop;https://bit.ly/3wrzdjq
3110002;English;English;https://bit.ly/36tson2
3110006;Basic Mechanical Engineering;BME;https://bit.ly/3rfv5lB
3110007;Environmental Science;ES;https://bit.ly/3xAlS9E
3110003Programming for Problem Solving;PPS;https://bit.ly/3xmlbAR
3110015;Mathematics II;Maths II;https://bit.ly/3k61qcU
3110016;Basics of Electronics;BE;https://bit.ly/3k59IBL
3110013;Engineering Graphics and Design;EGD;https://bit.ly/2T1MYaO
