Code;Subject Name;Known as;Syllabus
2170001;Project - I;P-1;
2170701;Compiler Design;CD;
2170709;Information and Network Security;INS;
2170710;Mobile Computing and Wireless Communication;MCWC;
2170712;Image Processing;IP;
2170713;Service Oriented Computing;SOC;
2170714;Distributed DBMS;D-DBMS;
2170715;Data Mining and Business Intelligence;DMBI;
2171607;Big Data Analytics;BDA;
